,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq=-7,MSinceMostRecentInqexcl7days=-7,MSinceOldestTradeOpen=-8,MSinceMostRecentDelq=-8,MSinceMostRecentInqexcl7days=-8,NetFractionRevolvingBurden=-8,NetFractionInstallBurden=-8,NumRevolvingTradesWBalance=-8,NumInstallTradesWBalance=-8,NumBank2NatlTradesWHighUtilization=-8,PercentTradesWBalance=-8
41,81.0,125.0,29.0,79.0,10.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,10.0,0.0,30.0,2.4847233691164328,0.0,0.0,25.0,68.49310277831746,3.0,1.0,1.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
42,58.0,123.0,3.0,51.0,22.0,1.0,0.0,83.0,2.0,3.0,5.0,23.0,4.0,13.0,2.4847233691164328,4.0,3.0,51.0,32.0,9.0,2.0,1.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,79.0,252.0,12.0,99.0,22.0,0.0,0.0,96.0,59.0,6.0,6.0,23.0,0.0,52.0,0.0,0.0,0.0,34.0,70.0,7.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,69.0,183.0,7.0,46.0,21.0,1.0,1.0,86.0,20.0,6.0,2.0,22.0,2.0,45.0,0.0,1.0,1.0,36.0,75.0,1.0,4.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,81.0,137.0,1.0,56.0,22.0,1.0,0.0,92.0,36.0,6.0,5.0,24.0,3.0,21.0,7.0,0.0,0.0,3.0,68.49310277831746,3.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,72.0,224.0,2.0,66.0,31.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,33.0,3.0,24.0,0.0,0.0,0.0,28.0,69.0,9.0,2.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,63.0,37.0,8.0,21.0,9.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,4.0,3.0,50.0,2.4847233691164328,1.0,1.0,81.0,47.0,5.0,7.0,2.0,92.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,68.0,104.0,5.0,44.0,22.0,2.0,2.0,92.0,11.0,4.0,2.0,24.0,5.0,21.0,0.0,1.0,1.0,36.0,68.49310277831746,5.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,75.0,198.0,4.0,114.0,26.0,2.0,0.0,93.0,42.0,6.0,5.0,28.0,5.0,46.0,0.0,1.0,1.0,18.0,15.0,7.0,3.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,72.0,281.0,4.0,129.0,27.0,1.0,0.0,93.0,71.0,6.0,5.0,28.0,2.0,14.0,0.0,1.0,1.0,36.0,92.0,10.0,1.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,70.0,141.0,8.0,145.0,17.0,3.0,2.0,80.0,29.0,5.0,2.0,20.0,1.0,20.0,16.0,0.0,0.0,46.0,91.0,5.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,66.0,87.0,6.0,51.0,31.0,0.0,0.0,100.0,21.751674522451005,5.0,7.0,31.0,4.0,32.0,2.4847233691164328,0.0,0.0,49.0,91.0,8.0,3.0,1.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,69.0,192.0,1.0,67.0,34.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,36.0,5.0,42.0,0.0,3.0,3.0,42.0,76.0,4.0,5.0,1.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,86.0,347.0,6.0,109.0,26.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,26.0,1.0,38.0,6.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,62.0,121.0,8.0,50.0,14.0,0.0,0.0,86.0,10.0,4.0,6.0,14.0,1.0,29.0,2.4847233691164328,0.0,0.0,54.0,68.49310277831746,4.0,1.0,3.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,72.0,413.0,10.0,70.0,31.0,0.0,0.0,97.0,54.0,6.0,6.0,31.0,2.0,74.0,0.0,1.0,1.0,25.0,68.49310277831746,2.0,1.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,56.0,122.0,5.0,52.0,12.0,1.0,0.0,77.0,1.0,4.0,5.0,13.0,1.0,62.0,0.0,2.0,2.0,89.0,88.0,1.0,2.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,82.0,445.0,14.0,217.0,21.0,1.0,1.0,95.0,22.0,6.0,3.0,27.0,0.0,14.0,23.0,0.0,0.0,5.0,68.49310277831746,4.0,2.4912524298805887,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
59,73.0,270.0,9.0,86.0,16.0,0.0,0.0,75.0,17.0,5.0,6.0,16.0,1.0,25.0,3.0,2.0,2.0,10.0,6.0,5.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,57.0,131.0,10.0,52.0,15.0,1.0,0.0,81.0,8.0,4.0,5.0,16.0,1.0,63.0,0.0,0.0,0.0,98.0,64.0,3.0,5.0,2.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,85.0,132.0,7.0,62.0,29.0,0.0,0.0,100.0,21.751674522451005,6.0,7.0,29.0,2.0,21.0,2.4847233691164328,0.0,0.0,1.0,79.0,3.0,3.0,0.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,73.0,201.11119781506048,1.0,84.0,21.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,0.0,2.0,9.0,0.0,3.0,3.0,30.0,101.0,6.0,1.0,1.0,58.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,73.0,302.0,5.0,114.0,14.0,1.0,1.0,93.0,19.0,6.0,6.0,5.0,1.0,29.0,2.4847233691164328,0.0,0.0,1.0,68.49310277831746,1.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
64,59.0,162.0,33.0,74.0,11.0,2.0,2.0,71.0,9.0,4.0,3.0,14.0,0.0,43.0,2.4847233691164328,0.0,0.0,83.0,17.0,4.0,3.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,84.0,365.0,28.0,157.0,17.0,0.0,0.0,94.0,79.0,6.0,6.0,17.0,0.0,18.0,8.0,0.0,0.0,0.0,68.49310277831746,1.0,2.4912524298805887,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
66,63.0,284.0,1.0,92.0,40.0,0.0,0.0,93.0,2.0,4.0,6.0,29.0,1.0,12.0,2.4847233691164328,0.0,0.0,45.0,69.0,7.0,3.0,3.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,73.0,226.0,12.0,107.0,21.0,2.0,1.0,92.0,30.0,6.0,4.0,31.0,0.0,54.0,2.4847233691164328,0.0,0.0,59.0,26.0,7.0,2.0,3.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,58.0,58.0,3.0,22.0,16.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,16.0,5.0,19.0,0.0,4.0,4.0,66.0,95.0,10.0,2.0,2.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,58.0,33.0,5.0,18.0,12.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,12.0,4.0,50.0,0.0,1.0,1.0,96.0,68.0,5.0,5.0,4.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,71.0,149.0,3.0,63.0,27.0,0.0,0.0,96.0,21.751674522451005,6.0,6.0,28.0,2.0,36.0,0.0,1.0,1.0,41.0,97.0,7.0,1.0,2.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,84.0,144.0,16.0,73.0,15.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,16.0,0.0,0.0,3.0,1.0,1.0,5.0,68.49310277831746,2.0,2.4912524298805887,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
72,57.0,258.0,1.0,119.0,41.0,2.0,2.0,91.0,1.0,4.0,2.0,19.0,3.0,18.0,0.0,2.0,2.0,12.0,68.49310277831746,6.0,2.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,64.0,161.0,6.0,90.0,15.0,1.0,1.0,76.0,57.0,6.0,2.0,17.0,3.0,24.0,0.0,1.0,1.0,66.0,68.49310277831746,3.0,2.4912524298805887,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
74,72.0,135.0,12.0,60.0,29.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,29.0,0.0,7.0,11.0,0.0,0.0,47.0,68.49310277831746,13.0,1.0,2.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,78.0,423.0,1.0,138.0,30.0,0.0,0.0,97.0,32.0,6.0,6.0,31.0,5.0,23.0,2.4847233691164328,1.0,1.0,26.0,58.0,4.0,1.0,1.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,58.0,184.0,3.0,66.0,30.0,0.0,0.0,94.0,1.0,4.0,6.0,31.0,1.0,13.0,0.0,1.0,1.0,47.0,68.49310277831746,9.0,1.0,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,86.0,349.0,5.0,120.0,33.0,0.0,0.0,97.0,19.0,6.0,6.0,35.0,1.0,34.0,2.4847233691164328,0.0,0.0,7.0,68.49310277831746,4.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
78,80.0,342.0,4.0,68.0,28.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,28.0,2.0,57.0,0.0,1.0,1.0,57.0,86.0,5.0,5.0,1.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,76.0,179.0,7.0,91.0,22.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,45.0,1.0,45.0,2.4847233691164328,0.0,0.0,40.0,88.0,4.0,2.0,1.0,78.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,71.0,215.0,2.0,72.0,55.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,47.0,10.0,27.0,2.4847233691164328,1.0,1.0,45.0,68.49310277831746,8.0,4.0,2.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,61.0,216.0,2.0,61.0,23.0,4.0,4.0,96.0,69.0,6.0,6.0,26.0,4.0,21.0,0.0,2.0,2.0,43.0,99.0,11.0,3.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,70.0,192.0,3.0,59.0,13.0,1.0,0.0,86.0,2.0,4.0,5.0,14.0,1.0,36.0,3.0,1.0,1.0,36.0,51.0,1.0,3.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,63.0,38.0,6.0,22.0,13.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,13.0,2.0,23.0,2.4847233691164328,0.0,0.0,78.0,44.0,9.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,83.0,232.0,9.0,83.0,28.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,53.0,1.0,18.0,11.0,0.0,0.0,5.0,12.0,5.0,2.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,68.0,19.0,9.0,15.0,6.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,6.0,2.0,33.0,0.0,2.0,2.0,11.0,99.0,2.0,1.0,1.1065750471571005,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,71.0,139.0,5.0,63.0,29.0,0.0,0.0,93.0,50.0,6.0,6.0,29.0,3.0,66.0,0.0,0.0,0.0,52.0,50.0,3.0,5.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,80.0,115.0,3.0,44.0,11.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,12.0,2.0,55.0,6.0,0.0,0.0,27.0,55.0,1.0,2.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,68.0,207.0,2.0,86.0,30.0,0.0,0.0,94.0,2.0,4.0,6.0,57.0,3.0,16.0,2.4847233691164328,2.0,2.0,19.0,51.0,3.0,2.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,73.0,126.0,2.0,80.0,23.0,1.0,1.0,88.0,12.0,6.0,2.0,25.0,1.0,24.0,0.0,1.0,1.0,25.0,68.49310277831746,2.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
